first_name,last_name,email,phone,date_of_birth,address,city,state,zip_code,country,registration_date,last_login,total_orders,total_spent,loyalty_tier,preferred_category,is_active,marketing_consent
Vanessa,Potter,palmerlaura@example.org,264-271-4042,1982-08-31,"726 Randall Ferry Apt. 083
Alanstad, MP 86390",Millerstad,Montana,71292,Martinique,2021-03-31,2024-09-26 23:35:49,43.13847329345596,25598.61145259681,Silver,Books,False,True
Richard,Anderson,evansalbert@example.net,(393)856-5449,2003-01-28,"71491 Sanchez Club
Knightmouth, GA 85412",Josephshire,California,84355,Russian Federation,2021-08-24,2024-10-08 00:53:08,57.12027710777536,40028.11672364758,Bronze,Food & Beverage,False,False
Ann,Wu,panderson@example.org,+1-265-393-6975x49269,1968-01-24,"4981 Chavez Land
Lake Autumnfort, MN 19852",Robertberg,Wyoming,87201,Anguilla,2020-10-16,2024-10-28 03:24:00,36.742491388979175,7935.55665372552,Silver,Clothing,False,True
Felicia,Roth,amanda91@example.com,886-263-3242,1993-11-01,"0134 Nancy Port
Candacefort, MH 19552",Port Charles,Minnesota,00921,Liechtenstein,2024-02-19,2025-08-31 01:42:37,97.08242954600266,42991.81719015208,Bronze,Clothing,True,True
Christina,Ortiz,melissacruz@example.org,515.972.0795,1958-02-08,"74992 Leblanc Route Suite 248
Alvarezside, KS 48093",Shawnside,Florida,57649,Heard Island and McDonald Islands,2023-04-04,2025-03-02 10:07:46,69.45458299574433,2551.371672570274,Gold,Automotive,False,True
Kathleen,Hamilton,derek16@example.org,950.643.7400,1965-04-18,"87794 Amy Extension
Sharontown, MO 85381",Christinechester,Mississippi,01971,Romania,2024-09-26,2025-05-03 16:51:41,31.9701173638964,25708.97474134095,Gold,Automotive,True,True
Barbara,Ewing,stephenlopez@example.org,001-525-672-0516,2005-06-01,"761 Washington Dam
Mezaberg, MT 00544",Georgeview,Alaska,60574,Vietnam,2025-03-14,2025-08-02 23:27:13,59.49957997427504,20201.37210190374,Silver,Electronics,True,True
Christine,Rodriguez,johnsonallen@example.net,(983)286-0675x79435,2000-04-21,"0613 Deborah Stravenue
Ingramside, AR 40566",Leechester,Minnesota,14754,Niue,2025-07-24,2025-07-07 17:15:12,46.993451829021964,14032.58489570843,Bronze,Automotive,True,True
Whitney,Brown,tuckertravis@example.net,001-282-686-8413x83304,1954-04-29,"Unit 5283 Box 8835
DPO AP 01162",Henryville,New York,97796,Gabon,2024-05-05,2024-11-11 17:28:07,55.652278810677196,48593.48700874743,Gold,Beauty,False,True
Alexandria,Carter,jeffreysmith@example.org,499-850-3849x886,1984-01-04,"75866 Rebecca Cliffs
Allenland, GU 25986",East Sandrabury,West Virginia,16222,Italy,2020-11-20,2025-03-01 16:57:27,48.067031847308485,12739.426468022853,Gold,Home & Garden,False,False
Jessica,Pacheco,taylorlinda@example.com,334-425-4926x9827,1999-02-21,"621 Candace Mills
Mariabury, PA 75374",Schwartzville,Nebraska,17608,Venezuela,2021-02-16,2025-07-11 09:57:16,99.22096170847561,22697.87869437344,Silver,Automotive,True,True
Melinda,Davis,williamsphillip@example.net,(771)471-1164,1946-11-14,"21659 Ana Center
West Mark, WI 33659",Nancyland,Ohio,32862,Dominica,2023-01-08,2025-07-03 21:52:34,96.94346439957606,35312.39990828814,Bronze,Electronics,False,True
Brandon,Miller,meyershannon@example.net,001-859-469-2705x75038,1980-02-16,"37193 Noah Square
Ericstad, WA 53915",West Kyle,Oklahoma,78273,Gibraltar,2020-12-01,2025-01-10 18:34:25,44.71597972493655,47771.33757989964,Gold,Sports,False,False
Reginald,Munoz,angeladowns@example.org,+1-230-986-9911x43533,1973-09-29,"4277 Hill Prairie
Port Joyce, MP 07398",South Sarahmouth,Oregon,70450,Costa Rica,2025-04-22,2025-08-24 17:16:59,96.47530368012609,45458.87394638926,Bronze,Food & Beverage,True,True
Curtis,Sanchez,deanna47@example.com,859-776-7036,1947-03-10,"5357 Wendy Ville Apt. 227
South Monica, NC 92527",East Johnfurt,Minnesota,57683,Ghana,2023-01-07,2024-10-24 13:02:16,15.047767023058862,23170.572712444493,Silver,Books,False,True
Kyle,Williams,xalexander@example.com,+1-558-204-2420x66862,2000-06-17,"USNV Jones
FPO AP 32389",Marytown,Kansas,72061,Montserrat,2024-05-29,2025-01-11 17:24:28,50.58983843422141,15140.197613130384,Platinum,Food & Beverage,True,False
Amy,Simmons,rosalesjessica@example.com,001-800-602-7913x70941,1971-11-21,"364 Miller Skyway Apt. 677
East Juantown, HI 87513",New Thomasfurt,Indiana,90304,Zimbabwe,2023-07-26,2025-07-24 01:03:24,43.73586848229105,3051.3244086337536,Gold,Food & Beverage,True,False
Thomas,Melton,qperez@example.net,(975)668-0769x981,1979-03-17,"83431 Ethan Greens Suite 191
Dawsonbury, KS 36348",Lambertburgh,New Mexico,77880,Rwanda,2024-12-14,2024-12-03 14:15:48,40.24039460663789,26600.831098018414,Platinum,Home & Garden,False,True
Tara,Thomas,othomas@example.net,+1-977-423-4517x1410,2007-07-23,"92200 James Mall Suite 898
East Tracy, AZ 91142",Port Jeffreytown,Oregon,23166,United States of America,2022-05-18,2025-03-31 18:46:00,0.8123750022368114,21256.44162065947,Platinum,Automotive,True,False
Michael,Gonzalez,fwright@example.com,(983)254-1611,1965-01-19,"50552 Chaney Plains
Wongside, KS 84398",Cindyton,Kansas,46868,Guinea-Bissau,2023-06-03,2024-09-22 06:24:19,62.266668019187954,24944.836478331006,Gold,Clothing,True,True
Victoria,Tucker,suzannewallace@example.org,353-737-9825x6878,1998-11-11,"71412 Jones Shores
West Christineburgh, IA 98724",Ramoshaven,Massachusetts,34070,Mongolia,2025-09-10,2025-07-18 07:29:33,92.34974142679337,31890.588555217044,Silver,Automotive,True,True
Timothy,Walsh,wilsonwesley@example.net,(330)693-0871,1978-04-01,"275 Haney Greens
West Brittany, NC 16471",New Neil,New York,09878,Burundi,2025-04-27,2025-08-13 03:26:30,84.2396172533619,25644.576729095836,Gold,Books,True,True
David,Roberts,scott76@example.net,(763)234-9252,1965-12-30,"PSC 6778, Box 1619
APO AP 29182",Jacksonchester,Vermont,95198,Bulgaria,2020-12-05,2024-10-16 05:30:09,84.60115976328986,3359.4052900243355,Platinum,Sports,True,True
Robert,Meyer,sturner@example.org,+1-851-774-0358x91735,1969-08-17,"USNV Harper
FPO AP 31024",Amandabury,Arkansas,16777,Congo,2023-04-06,2024-12-11 14:50:03,43.69036280175436,27827.52819316363,Platinum,Automotive,False,True
Sara,Smith,mendezdaniel@example.com,881.579.0962x79444,1987-07-22,"466 Frost Station Suite 431
Jacksontown, MO 15385",Judyview,New Jersey,04527,Anguilla,2022-08-14,2025-01-31 16:00:03,37.697349618529444,693.9714278953343,Bronze,Clothing,True,True
David,Glenn,madeline19@example.org,(700)848-8019x29093,1954-05-03,"652 Olson Flats Suite 291
New Robert, OR 49485",Josephborough,New Mexico,52687,Bhutan,2021-09-19,2025-05-01 12:29:49,22.846276903253298,18176.868179750527,Gold,Sports,True,True
Abigail,Alvarez,jmeadows@example.org,(630)330-5288x3110,1993-11-22,"706 Jason Passage
Richardberg, WY 72299",Anthonyville,Florida,45211,Andorra,2025-09-01,2025-05-15 02:35:43,78.67753422356422,41811.08236073891,Platinum,Books,True,True
